IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_effectivenessfairness_attitudes,prisonsystem_effectivenessfairness_attitudes,courtprisonsystem_attitdues,allsystem_effectiveness_attitudes,allsystem_fairness_attitudes,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0,verdict_POST,confidence_guilty_POST,confidence_verdict_POST,confidence_verdict_POST,penalty_continuous_POST_NA,penalty_continuous_POST_NA,impression_defendant_SES,impression_defendant_income,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive
172.58.164.122,641,58,0,1,1,0,2,Independent,1,3,2,2,2,2,3,3,3,3,3,2,3,2.5,2.5,2.5,2.2,3,2.6,3,3,black_written,1,2,0,,3,3,2,2,0,,3,3,0,NA,3,3,2,4,4,4,4,4,2,5,5
107.77.204.36,817,46,0,0,1,0,5,Independent,4,1,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2.2,2.1,7,7,black_written,1,8,0,,4,4,NA,0,0,,4,4,0,NA,3,3,3,6,6,1,1,4,6,1,1
45.24.23.159,317,33,0,1,1,0,4,Democrat,5,3,2,2,2,1,2,2,1,2,1,2,2,2,2,2,2,1.6,1.8,7,5,black_written,1,5,0,,4,4,NA,0,0,,5,5,0,NA,2,2,2,4,6,3,4,6,4,5,6
143.55.130.48,1897,62,1,1,1,0,5,Republican,5,3,3,3,4,2,2,2,4,4,3,3.5,3,2.5,4,3.25,3,3,3,4,4,black_written,1,8,0,,,,8,8,0,,4,4,4,4,NA,4,3,6,4,5,4,2,3,4,4
24.10.106.104,780,40,0,1,1,0,3,Democrat,4,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1.6,1,1.3,1,6,black_written,1,8,0,,4,4,NA,0,0,,6,6,0,NA,2,2,2,5,6,4,3,5,6,5,4
24.140.88.141,395,36,0,1,1,0,5,Democrat,3,2,2,2,2,2,1,2,2,1,1,2,1.5,2,1.5,1.75,2,1.4,1.7,7,6,black_written,1,0,0,,3,3,NA,0,0,,3,3,0,NA,2,2,3,4,3,5,5,4,2,5,6
66.213.10.222,556,51,1,1,1,0,2,Democrat,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,7,black_written,1,0,0,,4,4,NA,0,0,,5,5,0,NA,2,1,2,7,7,2,3,2,7,3,4
172.56.66.53,752,43,0,1,1,0,5,Democrat,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,black_written,1,5,0,,4,4,NA,0,1,6,,6,5,5,2,1,2,7,7,7,7,7,7,7,7
24.14.158.108,353,40,1,0,0,1,3,Independent,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,6,black_written,1,0,0,,2,2,NA,0,0,,6,6,0,NA,2,1,2,4,4,5,5,4,4,5,5
172.59.33.144,653,39,1,1,1,0,4,Democrat,2,3,3,4,2,1,2,1,2,1,1,2.5,1,2,1.5,1.75,2.6,1.4,2,7,6,black_written,1,2,0,,5,5,NA,0,0,,6,6,0,NA,2,2,3,4,3,6,6,5,4,5,6
98.224.134.92,320,44,0,1,1,0,6,Independent,4,2,2,2,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.6,1.4,1.5,5,5,black_written,1,4,0,,2,2,NA,0,0,,3,3,0,NA,3,2,2,4,4,4,4,4,4,4,4
97.70.6.242,355,33,1,1,1,0,6,Republican,5,2,3,4,3,5,3,4,4,4,5,3,4,3.5,3.5,3.5,3.4,4,3.7,6,7,black_written,1,3,0,,3,3,4,4,0,,5,5,0,NA,2,2,NA,6,5,3,2,2,4,3,4
98.117.243.154,352,44,0,1,1,0,6,Democrat,4,2,2,3,3,2,4,3,2,4,4,2.5,3.5,2.5,3.5,3,2.4,3.4,2.9,7,6,black_written,1,3,0,,3,3,NA,0,0,,2,2,0,NA,2,1,2,3,3,4,5,4,3,5,5
75.6.187.134,331,36,1,1,1,0,5,Democrat,5,3,3,3,1,2,2,2,2,1,2,2,1.5,2.5,1,1.75,2.4,1.8,2.1,7,6,black_written,1,2,0,,5,5,NA,0,0,,5,5,0,NA,3,2,2,5,4,3,4,4,5,3,3
192.161.78.24,612,54,0,1,1,0,4,Independent,4,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2.6,2.8,2.7,7,7,black_written,1,7,0,,1,1,NA,0,1,4,,4,3,3,2,1,2,4,7,4,7,7,7,5,5
76.188.47.191,427,45,1,1,1,0,5,Independent,1,2,2,2,1,2,2,3,1,1,1,1.5,2,2.5,1,1.75,1.8,1.6,1.7,7,4,black_written,1,2,0,,1,1,NA,0,0,,1,1,0,NA,2,2,2,4,4,4,5,4,4,5,5
73.50.16.91,306,36,0,1,1,0,6,Independent,5,2,2,3,2,2,3,2,3,3,2,2,2.5,2,2.5,2.25,2.2,2.6,2.4,7,7,black_written,1,5,0,,5,5,NA,0,0,,4,4,0,NA,3,3,3,4,3,2,2,2,6,3,5
72.83.128.99,471,70,0,1,1,0,3,Democrat,6,2,2,1,1,2,1,1,1,1,1,1.5,1,1.5,1,1.25,1.6,1,1.3,7,4,black_written,1,5,0,,4,4,2,2,0,,4,4,2,2,3,3,2,4,6,2,3,4,6,2,3
107.77.197.93,552,70,0,1,1,0,6,Democrat,3,3,1,2,1,2,2,2,2,2,2,1,2,1.5,1.5,1.5,1.8,2,1.9,6,6,black_written,1,2,0,,2,2,NA,0,0,,3,3,0,NA,3,1,2,4,4,2,5,3,3,5,5
208.107.96.156,402,29,0,1,1,0,3,Democrat,2,2,2,2,1,1,2,2,1,1,1,1.5,1.5,2,1,1.5,1.6,1.4,1.5,6,7,black_written,1,1,0,,2,2,NA,0,0,,4,4,0,NA,2,2,2,6,6,2,3,2,6,2,2
68.48.107.12,352,21,1,0,1,0,3,Independent,4,3,2,3,1,2,2,2,1,1,2,1.5,1.5,2,1,1.5,2.2,1.6,1.9,5,6,black_written,1,3,0,,3,3,NA,0,0,,5,5,0,NA,3,3,2,4,3,2,4,6,5,3,3
98.26.200.104,1010,46,1,0,1,0,3,Independent,4,2,2,2,2,2,2,2,1,1,2,2,1.5,2,1.5,1.75,2,1.6,1.8,4,1,black_written,1,5,0,,4,4,5,5,0,,5,5,0,NA,2,2,3,4,4,1,2,4,4,2,2
98.58.196.221,367,20,0,0,1,0,1,Independent,3,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1.8,1.6,1.7,6,4,black_written,1,6,0,,6,6,NA,0,0,,7,7,0,NA,2,2,2,5,6,2,4,4,6,4,5
76.192.157.28,327,54,1,0,1,0,5,Democrat,3,3,2,2,3,2,2,2,2,3,1,2.5,2.5,2,3,2.5,2.4,2,2.2,7,5,black_written,1,5,0,,,,NA,0,0,,,NA,0,NA,2,2,2,4,3,5,4,5,3,4,4
73.255.13.137,538,39,0,0,0,1,5,Democrat,3,3,3,2,2,3,3,2,2,2,3,2.5,2,2.5,2,2.25,2.6,2.4,2.5,6,7,black_written,1,3,0,,5,5,NA,0,0,,6,6,0,NA,2,2,2,6,5,3,6,5,5,5,5
76.157.167.59,340,59,0,1,1,0,6,Independent,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,black_written,1,3,0,,2,2,NA,0,0,,4,4,0,NA,2,2,2,4,4,2,4,2,4,3,4
99.50.44.197,410,56,1,1,1,0,6,Republican,7,2,3,4,3,3,1,3,4,3,3,3,3,3,3,3,3,2.8,2.9,7,5,black_written,1,2,0,,2,2,NA,0,0,,5,5,0,NA,2,2,2,5,4,3,3,4,5,3,5
98.153.194.163,254,21,0,1,1,0,3,Democrat,2,3,3,2,2,2,2,2,2,2,2,2.5,2,2.5,2,2.25,2.4,2,2.2,7,7,black_written,1,4,0,,5,5,NA,0,0,,5,5,0,NA,3,3,3,4,4,3,4,5,4,4,4
35.144.91.152,547,38,1,0,1,0,5,Democrat,2,3,4,4,3,2,4,3,3,3,1,3.5,3,3.5,3,3.25,3.2,2.8,3,6,6,black_written,1,5,0,,4,4,NA,0,0,,4,4,0,NA,2,2,3,4,4,3,4,4,4,5,5
69.60.38.32,403,45,1,1,1,0,5,Republican,6,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1.8,1.9,7,4,black_written,1,0,0,,4,4,NA,0,0,,4,4,0,NA,3,3,3,4,5,3,3,5,5,7,3
75.132.11.151,400,36,1,0,1,0,3,Democrat,1,3,2,2,2,3,2,2,1,1,1,2,1.5,2,1.5,1.75,2.4,1.4,1.9,7,7,black_written,1,5,0,,4,4,NA,0,0,,5,5,0,NA,2,2,2,6,6,2,2,3,6,3,2
76.10.244.16,1724,26,0,0,0,1,3,Democrat,2,NA,NA,NA,NA,NA,3,3,2,3,1,NA,3,NA,NA,NA,NA,2.4,NA,7,2,black_written,1,10,0,,3,3,5,5,0,,4,4,0,NA,2,1,2,5,6,2,3,NA,7,1,4
67.167.254.81,435,35,1,0,1,0,5,Independent,3,2,2,2,1,1,1,2,1,2,2,1.5,2,2,1.5,1.75,1.6,1.6,1.6,4,2,black_written,1,2,0,,2,2,NA,0,1,4,,4,5,5,1,1,NA,4,1,5,5,5,3,5,5
74.69.4.9,393,40,1,1,1,0,2,Independent,4,4,5,3,4,4,3,3,3,3,3,4.5,3,4,3.5,3.75,4,3,3.5,7,7,black_written,1,5,0,,7,7,NA,0,0,,7,7,0,NA,2,1,2,6,6,1,2,2,7,2,2
216.59.169.21,275,50,1,1,1,0,3,Democrat,2,2,2,2,1,2,2,2,1,2,1,1.5,2,2,1.5,1.75,1.8,1.6,1.7,7,6,black_written,1,1,0,,4,4,NA,0,0,,5,5,0,NA,3,2,2,5,5,2,2,4,5,3,2
99.190.221.238,660,25,1,0,1,0,5,Independent,4,2,3,2,2,3,3,3,2,3,2,2.5,3,3,2.5,2.75,2.4,2.6,2.5,3,4,black_written,1,4,0,,4,4,NA,0,0,,5,5,0,NA,2,1,3,4,5,3,5,4,5,4,3
96.41.65.103,350,32,1,0,1,0,5,Democrat,2,2,3,5,1,2,2,2,1,1,1,2,1.5,2.5,1,1.75,2.6,1.4,2,7,7,black_written,1,3,0,,7,7,NA,0,0,,7,7,0,NA,3,2,3,4,4,4,5,5,4,5,5
65.116.99.195,404,23,1,1,1,0,5,Republican,5,2,3,4,3,2,3,4,4,4,3,3,4,3.5,3.5,3.5,2.8,3.6,3.2,6,7,black_written,1,10,0,,2,2,NA,0,1,4,,4,8,8,2,2,2,2,3,6,6,5,3,6,6
66.91.214.49,467,42,1,0,1,0,3,Independent,4,2,2,2,1,2,3,2,2,2,2,1.5,2,2,1.5,1.75,1.8,2.2,2,2,2,black_written,1,4,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,4,4,4,5,3,4,5,5
99.56.247.237,305,43,0,1,1,0,5,Democrat,1,2,2,2,2,2,1,1,1,1,1,2,1,1.5,1.5,1.5,2,1,1.5,7,7,black_written,1,5,0,,4,4,NA,0,0,,4,4,0,NA,2,2,2,4,4,2,4,4,4,5,5
73.132.223.241,350,25,0,1,1,0,3,Republican,5,2,3,2,3,2,1,4,1,3,2,3,3.5,3.5,3,3.25,2.4,2.2,2.3,7,6,black_written,1,5,0,,5,5,NA,0,0,,5,5,0,NA,2,2,3,5,5,3,4,4,5,5,3
98.165.52.105,533,70,1,1,1,0,6,Democrat,2,2,2,3,1,2,2,2,2,1,2,1.5,1.5,2,1,1.5,2,1.8,1.9,7,7,black_written,1,4,0,,4,4,NA,0,0,,5,5,0,NA,3,2,2,4,4,2,2,3,4,3,4
65.38.124.55,401,27,1,0,1,0,5,Democrat,3,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1.4,1.2,1.3,5,5,black_written,1,3,0,,6,6,NA,0,0,,5,5,0,NA,1,2,2,3,1,4,5,6,1,6,6
70.172.10.126,508,45,0,1,1,0,2,Independent,5,2,3,2,2,3,2,3,2,2,2,2.5,2.5,3,2,2.5,2.4,2.2,2.3,4,2,black_written,1,2,0,,1,1,2,2,1,5,,5,2,2,3,2,2,3,4,3,4,3,4,3,4
173.163.89.137,690,41,1,1,1,0,3,Independent,2,3,4,3,2,2,3,3,3,2,2,3,2.5,3.5,2,2.75,2.8,2.6,2.7,7,6,black_written,1,5,0,,3,3,NA,0,0,,5,5,0,NA,2,2,2,5,5,3,4,6,5,6,4
35.145.118.7,909,55,1,0,0,1,5,Independent,4,1,1,2,2,1,2,2,3,3,3,1.5,2.5,1.5,2.5,2,1.4,2.6,2,7,7,black_written,1,6,0,,5,5,5,5,0,,5,5,5,5,2,1,2,4,5,2,4,4,5,4,5
24.90.80.193,243,34,0,0,1,0,6,Democrat,3,3,3,3,2,2,3,3,3,3,3,2.5,3,3,2.5,2.75,2.6,3,2.8,6,6,black_written,1,0,0,,4,4,NA,0,0,,6,6,0,NA,2,4,NA,5,3,3,3,4,4,4,4
71.161.205.56,884,26,1,0,0,1,5,Independent,6,4,4,4,3,4,3,3,4,3,3,3.5,3,3.5,3,3.25,3.8,3.2,3.5,6,6,black_written,1,0,0,,5,5,2,2,0,,6,6,0,NA,2,2,2,3,5,4,5,5,5,5,5
73.115.194.212,1627,54,1,0,0,1,3,Democrat,3,3,3,4,2,3,3,3,4,1,3,2.5,2,3,1.5,2.25,3,2.8,2.9,6,6,black_written,1,2,0,,7,7,NA,0,0,,2,2,0,NA,1,1,2,4,2,5,2,5,2,6,6
