IP Address,Duration (in seconds),age,gender_men,participant_race_WHITE,participant_race_NONBLACK,participant_race_BLACK ,participant_EDU,What political party do you most identify with? - Selected Choice,political_ideology_continuous,"In terms of social and cultural issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology","In terms of economic issues, how liberal or conservative are you on a scale from 1-7 (from extremely liberal to extremely conservative)? - Political Ideology",generalSJ,racialSJ,educationsystem_effectiveness,courtsystem_effectiveness,economicsystem_effectiveness,prisonsystem_effectiveness,healthcaresystem_effectiveness,educationsystem_fairness,courtsystem_fairness,economicsystem_fairness,prisonsystem_fairness,healthcaresystem_fairness,courtprisonsystem_effectiveness_attitudes,courtprisonsystem_fairness_attitudes,courtsystem_attitudes,prisonsystem_attitudes,courtprisonsystem_attitdues,allsystem_attitudes,voting_importance,juryduty_importance,condition_categorical,Condition_Blackdefendant,appropriate_penalty,appropriate_penalty,verdict_PRE,confidence_guilty_PRE,confidence_notguilty_PRE,confidence_verdict_PRE,penalty_continuous_PRE_NA,penalty_continuous_PRE_0s,"If you had to sentence the individual being charged in this case, what would your verdict be?",verdict_POST,confidence_notguilty_POST,confidence_verdict_POST,confidenceinverdict_POST,penalty_continuous_POST,peNAlty_continuous_POST_NA,pe0lty_continuous_POST_0s,What socioeconomic class do you estimate the defendant in this case falls into?,impression_defendant_SES,What income bracket do you estimate the defendant in this case falls into?,impression_defendant_income,What is the highest level of education that you estimate the defendant in this case has?,impression_defendant_EDU,impression_defendant_trustworthiness,impression_defendant_intelligence,impression_defendant_dangerous,impression_defendant_reckless,impression_defendant_dominant,impression_defendant_competent,impression_defendant_hotheaded,impression_defendant_impulsive,Did the defendant in this case have an accent?,Which of the following best describes the accent the defendant had?,Please make your best guess as to which part of the United States the defendant in this case is from.,Because of today's PC (politically correct) standards I try to not appear racially prejudiced toward Black people.,I try to hide any racially prejudiced thoughts in order to avoid negative reactions from others.,I attempt to not appear racially prejudiced in order to avoid disapproval from others.,IMS,I attempt to not act in racially prejudiced ways because it is personally important to me.,I am personally motivated by my beliefs to not be racially prejudiced,"Because of my personal values, I believe that using racial stereotypes is wrong.",EMS ,"Because this study involved deception, as explained above, you have the right to withdraw consent to use the data we collected from you. If you give your consent, we will be able to use your data. If you do not give your consent, we will not be allowed to use your data and will have to destroy it. So please SELECT ONE:",Do you feel that you have been adequately debriefed about the nature of this study?,PROLIFIC_PID,con
212.116.254.60,1824,28,0,1,1,0,5,Independent,4,4,4,5.125,3.25,4,3,4,3,4,4,3,3,3,4,3,3,3,3,3,3.5,7,5,white_written,0,less than 1 year,0,1,5,,5,2,2,Guilty,1,5,,5,2 years,2,2,Lower class,1,"$0-$30,000",1,Less than a high school diploma,1,1,2,5,6,5,2,6,1,Midwest,,,6,4,4,4.666666667,6,7,6,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6128fd492700069e594016c9,-1
174.251.128.189,1194,53,0,0,0,1,2,Democrat,4,5,4,4.75,3.75,3,4,4,3,4,4,4,4,3,4,3.5,3.5,4,3,3.5,3.7,7,4,white_written,0,5 years,5,1,5,,5,5,5,Guilty,1,5,,5,5 years,5,5,Middle class,3,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,2,2,5,6,4,5,6,3,South,,,6,4,6,5.333333333,6,2,7,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",60fb4917318c63922d387555,-1
207.230.114.19,1797,38,1,0,0,1,2,Republican,6,6,6,5,4.5,3,3,3,3,3,2,2,3,3,2,3,2.5,2.5,3,2.75,2.7,6,5,white_written,0,10 years,10,0,,4,4,NA,0,Not Guilty,0,,6,6,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,6,1,2,5,6,2,2,West,,,6,4,5,5,5,4,5,4.666666667,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",6365ab361b71daa9f0eed7bd,-1
172.58.51.121,2382,48,0,1,1,0,5,Democrat,1,1 Extremely Liberal/Left-Leaning,4,4,4,3,4,3,2,4,4,3,3,2,3,3,2.5,3.5,2,2.75,3.1,7,6,white_written,0,2 years,2,0,,4,4,NA,0,Not Guilty,0,,5,5,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,5,3,3,4,4,5,4,West,,,4,3,2,3,4,5,6,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d9204831fcc309f67e0131,-1
172.59.170.105,617,44,0,1,1,0,4,Independent,4,4,4,3.25,3.5,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1.4,5,5,white_written,0,7 years,7,0,,4,4,NA,0,Guilty,1,5,,5,5 years,5,5,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,4,4,4,4,4,5,5,Northeast,,,4,2,2,2.666666667,5,5,5,5,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",5e42fc295135b5000cd20d0b,-1
68.45.211.25,1458,49,0,0,0,1,3,Neither. I go for whoever is best!,4,5,4,2.625,3.375,3,1,2,1,2,2,1,1,2,1,1,1.5,1,1.5,1.25,1.6,4,6,white_written,0,9 years,9,1,3,,3,5,5,Guilty,1,4,,4,5 years,5,5,Middle class,3,"$0-$30,000",1,"High school graduate or equivalent (e.g., GED)",2,2,3,4,6,5,4,5,5,Northeast,,,4,4,4,4,4,6,6,5.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",65c391e039ff6b21462b3083,-1
172.56.209.141,2792,51,0,1,1,0,6,,4,4,5,2.875,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1.1,4,4,white_written,0,2 years,2,1,6,,6,2,2,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Lower class,1,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,2,4,3,4,4,3,3,3,West,,,6,5,5,5.333333333,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",662c29521a4d878c27a664ef,-1
172.56.67.29,1856,51,0,0,0,1,5,Democrat,3,2,3,3.25,2.375,2,2,2,2,2,2,2,1,1,2,2,1.5,2,1.5,1.75,1.8,7,4,white_written,0,2 years,2,0,,3,3,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,5,4,2,2,2,6,6,5,Northeast,,,4,5,4,4.333333333,6,6,7,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66b9727fe81cb7a04358ccd4,-1
199.188.82.28,2110,53,0,0,0,1,4,Democrat,3,2,3,3.875,3,3,3,2,2,2,2,1,2,1,2,2.5,1,2,1.5,1.75,2,6,7,white_written,0,5 years,5,0,,4,4,NA,0,Not Guilty,0,,4,4,"I selected ""not guilty""",NA,0,Lower middle class,2,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,5,2,3,4,7,3,3,Northeast,,,4,4,4,4,7,6,6,6.333333333,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66bbc8c5f316e9d93bdd06dd,-1
67.216.151.7,751,42,0,1,1,0,5,Democrat,3,2,4,1.75,2.625,2,2,2,1,1,2,2,1,2,1,1.5,2,2,1.5,1.75,1.6,7,6,white_written,0,1 year,1,0,,3,3,NA,0,Not Guilty,0,,3,3,"I selected ""not guilty""",NA,0,Middle class,3,"$31,000-$60,000",2,"High school graduate or equivalent (e.g., GED)",2,4,NA,3,5,4,4,5,5,South,,,2,2,3,2.333333333,7,7,7,7,I give my consent for you to use my data,"YES, I feel that I have been adequately debriefed",66d0d4cfa25b13f5195f30e8,-1
